country,city,lat,lon,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030
Egypt,Cairo,30.039173,31.239411,2493.514,3029.198,3680.16,4737.968,5584.507,6449.922,7348.778,8328.255,9892.143,11961.986,13625.565,15174.05,16899.015,18771.769,20567.892,22431.541,24502.15
Democratic Republic of the Congo,Kinshasa,-4.32758,15.31357,201.905,292.398,442.853,717.018,1069.714,1481.82,2052.874,2811.896,3683.274,4824.684,6140.419,7589.069,9381.673,11586.914,14117.629,16916.014,19996.156
Nigeria,Lagos,6.45306,3.39583,325.218,468.46,762.418,1135.439,1413.528,1889.802,2572.218,3500.464,4764.093,5982.68,7280.706,8859.399,10780.986,13122.829,16167.824,20029.595,24239.435
South Africa,Johannesburg,-26.20227,28.04363,1653.351,1879.584,2136.849,2432.328,2764.138,2974.955,3201.915,3446.05,3708.875,4528.622,5605.027,6725.633,7991.825,9398.698,10361.229,11031.751,11573.129
Angola,Luanda,-8.83682,13.23432,138.413,174.268,219.427,315.108,459.225,598.504,771.349,1017.524,1390.24,1899.48,2591.388,3533.331,4508.434,5506,6836.849,8566.565,10428.756
Sudan,Khartoum,15.55177,32.53241,182.686,251.617,346.586,477.316,657.414,886.362,1164.234,1611.443,2360.035,3088.076,3505.456,3978.97,4517.078,5129.358,5905.394,6929.057,8158.384
United Republic of Tanzania,Dar es Salaam,-6.82349,39.26951,83.844,117.439,162.126,233.251,356.785,571.594,854.913,1136.733,1473.87,1830.067,2272.483,2926.695,3869.675,5115.67,6727.291,8592.861,10759.575
C̫te d'Ivoire,Abidjan,5.345339,-4.026789,65,125.311,191.849,309.925,548.246,966.025,1383.516,1716.495,2102.049,2534.759,3027.833,3544.909,4150.288,4859.798,5748.336,6729.437,7772.628
Senegal,Dakar,14.6937,-17.44406,213.55,235.208,359.097,472.595,610.49,781.974,957.411,1162.128,1404.728,1688.021,2028.549,2437.526,2929.109,3520.215,4245.649,5098.864,6045.685
Ethiopia,Addis Ababa,9.02497,38.74689,392,451.12,519.177,597.455,729.246,925.73,1175.232,1476.357,1790.86,2144.292,2376.701,2634.15,2918.813,3237.525,3777.553,4698.056,5850.804